date,city,state,event_name
2/1/17,St. Louis,MO,NHL Winter Classic
4/1/17,New York,NY,National Board of Review of Motion Pictures Awards Gala
5/1/17,New York,NY,Winter Jazzfest NYC
5/1/17,Las Vegas,NV,International Consumer Electronics Show (CES)
5/1/17,New York,NY,Jazz Connect Conference
6/1/17,New York,NY,Winter Jazzfest NYC
6/1/17,Las Vegas,NV,International Consumer Electronics Show (CES)
6/1/17,New York,NY,Jazz Connect Conference
6/1/17,New York,NY,APAP conference
7/1/17,New York,NY,Winter Jazzfest NYC