timestamp,AA,UA,B6,OO,AS,NK,WN,DL,HA
4/6/18,51.12,69.6501,20.12,55.7,61.44,37.8576,55.865,53.67,40.2
4/5/18,52.14,70.69,20.64,56.05,62.11,38.3,56.86,54.21,41.2
4/4/18,52.04,69.99,20.48,55.45,61.22,37.7,56.36,53.86,40.5
4/3/18,51.47,69.19,20.15,54.8,60.11,37.22,55.97,53.72,38.75
4/2/18,49.78,66.77,19.73,52.75,57.75,36.35,54.34,51.95,36.85
3/29/18,51.96,69.47,20.32,54.4,61.96,37.78,57.28,54.81,38.7
3/28/18,50.85,67.91,20.17,53.95,61.57,36.99,56.25,53.93,38.35
3/27/18,50.9,68.18,19.95,54.3,61.49,37.19,56.69,54.26,37.15
3/26/18,51.86,68.48,20.48,55.6,62.16,38.27,57.59,55.06,36.2
3/23/18,51.01,67.39,20.84,54.95,61.88,39.96,56.72,53.9,35.6